"Age","Athlete","Gold","Date","Date (String)","Country"
"23","Michael Phelps","true","2008-08-24","2008-08-24","United States"
"19","Michael Phelps","true","2004-08-29","2004-08-29","United States"
"27","Michael Phelps","true","2012-08-12","2012-08-12","United States"
"25","Natalie Coughlin","true","2008-08-24","2008-08-24","United States"
"24","Aleksey Nemov","true","2000-10-01","2000-10-01","Russia"
"24","Alicia Coutts","true","2012-08-12","2012-08-12","Australia"
"17","Missy Franklin","true","2012-08-12","2012-08-12","United States"
"27","Ryan Lochte","true","2012-08-12","2012-08-12","United States"
"22","Allison Schmitt","true","2012-08-12","2012-08-12","United States"
"21","Natalie Coughlin","true","2004-08-29","2004-08-29","United States"
"17","Ian Thorpe","true","2000-10-01","2000-10-01","Australia"
"33","Dara Torres","true","2000-10-01","2000-10-01","United States"
"26","Cindy Klassen","true","2006-02-26","2006-02-26","Canada"
"18","Nastia Liukin","true","2008-08-24","2008-08-24","United States"
"29","Marit Bjørgen","true","2010-02-28","2010-02-28","Norway"
"20","Sun Yang","true","2012-08-12","2012-08-12","China"
"24","Kirsty Coventry","true","2008-08-24","2008-08-24","Zimbabwe"
"23","Libby Lenton-Trickett","true","2008-08-24","2008-08-24","Australia"
"24","Ryan Lochte","true","2008-08-24","2008-08-24","United States"
"30","Inge de Bruijn","true","2004-08-29","2004-08-29","Netherlands"
"28","Petria Thomas","true","2004-08-29","2004-08-29","Australia"
"21","Ian Thorpe","true","2004-08-29","2004-08-29","Australia"
"27","Inge de Bruijn","true","2000-10-01","2000-10-01","Netherlands"
"25","Gary Hall Jr.","true","2000-10-01","2000-10-01","United States"
"23","Michael Klim","true","2000-10-01","2000-10-01","Australia"
"27","Susie O'Neill","true","2000-10-01","2000-10-01","Australia"
"27","Jenny Thompson","true","2000-10-01","2000-10-01","United States"
"22","Pieter van den Hoogenband","true","2000-10-01","2000-10-01","Netherlands"
"20","An Hyeon-Su","true","2006-02-26","2006-02-26","South Korea"
"17","Aliya Mustafina","true","2012-08-12","2012-08-12","Russia"
"16","Shawn Johnson","true","2008-08-24","2008-08-24","United States"
"26","Dmitry Sautin","true","2000-10-01","2000-10-01","Russia"
"30","Leontien Zijlaard-van Moorsel","true","2000-10-01","2000-10-01","Netherlands"
"24","Petter Northug Jr.","true","2010-02-28","2010-02-28","Norway"
"28","Ole Einar Bjørndalen","true","2002-02-24","2002-02-24","Norway"
"20","Janica Kostelic","true","2002-02-24","2002-02-24","Croatia"
"23","Nathan Adrian","true","2012-08-12","2012-08-12","United States"
"20","Yannick Agnel","true","2012-08-12","2012-08-12","France"
"18","Brittany Elmslie","true","2012-08-12","2012-08-12","Australia"
"27","Matt Grevers","true","2012-08-12","2012-08-12","United States"
"22","Ryosuke Irie","false","2012-08-12","2012-08-12","Japan"
"28","Cullen Jones","true","2012-08-12","2012-08-12","United States"
"21","Ranomi Kromowidjojo","true","2012-08-12","2012-08-12","Netherlands"
"22","Camille Muffat","true","2012-08-12","2012-08-12","France"
"25","Mel Schlanger","true","2012-08-12","2012-08-12","Australia"
"20","Emily Seebohm","true","2012-08-12","2012-08-12","Australia"
"25","Rebecca Soni","true","2012-08-12","2012-08-12","United States"
"21","Satomi Suzuki","false","2012-08-12","2012-08-12","Japan"
"24","Dana Vollmer","true","2012-08-12","2012-08-12","United States"
"25","Alain Bernard","true","2008-08-24","2008-08-24","France"
"22","László Cseh Jr.","false","2008-08-24","2008-08-24","Hungary"
"23","Matt Grevers","true","2008-08-24","2008-08-24","United States"
"25","Margaret Hoelzer","false","2008-08-24","2008-08-24","United States"
"19","Katie Hoff","false","2008-08-24","2008-08-24","United States"
"22","Leisel Jones","true","2008-08-24","2008-08-24","Australia"
"25","Kosuke Kitajima","true","2008-08-24","2008-08-24","Japan"
"21","Andrew Lauterstein","false","2008-08-24","2008-08-24","Australia"
"32","Jason Lezak","true","2008-08-24","2008-08-24","United States"
"23","Pang Jiaying","false","2008-08-24","2008-08-24","China"
"25","Aaron Peirsol","true","2008-08-24","2008-08-24","United States"
"20","Steph Rice","true","2008-08-24","2008-08-24","Australia"
"21","Jess Schipper","true","2008-08-24","2008-08-24","Australia"
"21","Rebecca Soni","true","2008-08-24","2008-08-24","United States"
"22","Eamon Sullivan","false","2008-08-24","2008-08-24","Australia"
"41","Dara Torres","false","2008-08-24","2008-08-24","United States"
"22","Amanda Beard","true","2004-08-29","2004-08-29","United States"
"25","Antje Buschschulte","false","2004-08-29","2004-08-29","Germany"
"20","Kirsty Coventry","true","2004-08-29","2004-08-29","Zimbabwe"
"21","Ian Crocker","true","2004-08-29","2004-08-29","United States"
"24","Grant Hackett","true","2004-08-29","2004-08-29","Australia"
"22","Brendan Hansen","true","2004-08-29","2004-08-29","United States"
"20","Jodie Henry","true","2004-08-29","2004-08-29","Australia"
"20","Otylia Jedrzejczak","true","2004-08-29","2004-08-29","Poland"
"18","Leisel Jones","true","2004-08-29","2004-08-29","Australia"
"21","Kosuke Kitajima","true","2004-08-29","2004-08-29","Japan"
"17","Laure Manaudou","true","2004-08-29","2004-08-29","France"
"21","Aaron Peirsol","true","2004-08-29","2004-08-29","United States"
"21","Kaitlin Sandeno","true","2004-08-29","2004-08-29","United States"
"24","Roland Schoeman","true","2004-08-29","2004-08-29","South Africa"
"26","Pieter van den Hoogenband","true","2004-08-29","2004-08-29","Netherlands"
"23","Therese Alshammar","false","2000-10-01","2000-10-01","Sweden"
"18","Yana Klochkova","true","2000-10-01","2000-10-01","Ukraine"
"24","Lenny Krayzelburg","true","2000-10-01","2000-10-01","United States"
"22","Massimiliano Rosolino","true","2000-10-01","2000-10-01","Italy"
"25","Petria Thomas","false","2000-10-01","2000-10-01","Australia"
"23","Matt Welsh","false","2000-10-01","2000-10-01","Australia"
"20","Lee Jeong-Su","true","2010-02-28","2010-02-28","South Korea"
"27","Apolo Anton Ohno","false","2010-02-28","2010-02-28","United States"
"24","Wang Meng","true","2010-02-28","2010-02-28","China"
"17","Jin Seon-Yu","true","2006-02-26","2006-02-26","South Korea"
"19","Lee Ho-Seok","true","2006-02-26","2006-02-26","South Korea"
"23","Apolo Anton Ohno","true","2006-02-26","2006-02-26","United States"
"20","Wang Meng","true","2006-02-26","2006-02-26","China"
"26","Marc Gagnon","true","2002-02-24","2002-02-24","Canada"
"25","Yang Yang (A)","true","2002-02-24","2002-02-24","China"
"21","Stephanie Beckert","true","2010-02-28","2010-02-28","Germany"
"22","Martina Sáblíková","true","2010-02-28","2010-02-28","Czech Republic"
"24","Enrico Fabris","true","2006-02-26","2006-02-26","Italy"
"28","Chad Hedrick","true","2006-02-26","2006-02-26","United States"
"25","Jochem Uytdehaage","true","2002-02-24","2002-02-24","Netherlands"
"28","Sabine Völker","false","2002-02-24","2002-02-24","Germany"
"20","Gregor Schlierenzauer","true","2010-02-28","2010-02-28","Austria"
"27","Lars Bystøl","true","2006-02-26","2006-02-26","Norway"
"29","Johnny Spillane","false","2010-02-28","2010-02-28","United States"
"30","Felix Gottwald","true","2006-02-26","2006-02-26","Austria"
"27","Georg Hettich","true","2006-02-26","2006-02-26","Germany"
"26","Felix Gottwald","false","2002-02-24","2002-02-24","Austria"
"22","Samppa Lajunen","true","2002-02-24","2002-02-24","Finland"
"18","Aly Raisman","true","2012-08-12","2012-08-12","United States"
"23","Kohei Uchimura","true","2012-08-12","2012-08-12","Japan"
"24","Zou Kai","true","2012-08-12","2012-08-12","China"
"20","Cheng Fei","true","2008-08-24","2008-08-24","China"
"28","Yang Wei","true","2008-08-24","2008-08-24","China"
"15","Yang Yilin","true","2008-08-24","2008-08-24","China"
"20","Zou Kai","true","2008-08-24","2008-08-24","China"
"23","Marian Dragulescu","false","2004-08-29","2004-08-29","Romania"
"21","Paul Hamm","true","2004-08-29","2004-08-29","United States"
"16","Carly Patterson","true","2004-08-29","2004-08-29","United States"
